Frame,Wrist,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_Tip,Index_MCP,Index_PIP,Index_DIP,Index_Tip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_Tip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_Tip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_Tip
90.0,23.90165396996618,0.0,0.0,0.0,4.6875,0.0,4.6875,10.481568644530265,23.4375,23.4375,28.512949360772904,0.0,4.6875,9.375,6.629126073623883,0.0,9.375,4.6875,18.75,0.0,0.0
91.0,14.0625,4.6875,4.6875,0.0,0.0,9.375,4.6875,4.6875,4.6875,0.0,0.0,0.0,10.481568644530265,0.0,9.375,23.90165396996618,9.375,23.4375,0.0,4.6875,23.4375
92.0,14.0625,0.0,4.6875,9.375,10.481568644530265,9.375,4.6875,4.6875,0.0,0.0,0.0,0.0,9.375,0.0,0.0,0.0,0.0,4.6875,0.0,4.6875,0.0
93.0,28.512949360772904,0.0,28.125,0.0,6.629126073623883,4.6875,0.0,4.6875,23.4375,0.0,28.125,18.75,19.327057620082783,9.375,9.375,23.4375,19.327057620082783,4.6875,18.75,23.4375,4.6875
94.0,0.0,14.0625,0.0,18.75,4.6875,4.6875,0.0,0.0,0.0,6.629126073623883,28.125,9.375,14.0625,4.6875,9.375,4.6875,4.6875,4.6875,19.327057620082783,6.629126073623883,0.0
95.0,0.0,0.0,9.375,0.0,0.0,9.375,0.0,23.4375,23.4375,0.0,0.0,9.375,9.375,0.0,9.375,23.4375,23.4375,6.629126073623883,4.6875,4.6875,0.0
96.0,28.125,13.258252147247767,9.375,10.481568644530265,9.375,0.0,0.0,0.0,0.0,0.0,0.0,9.375,4.6875,0.0,10.481568644530265,0.0,4.6875,0.0,9.375,6.629126073623883,0.0
97.0,0.0,4.6875,9.375,6.629126073623883,0.0,0.0,0.0,4.6875,0.0,4.6875,0.0,9.375,0.0,9.375,4.6875,0.0,0.0,4.6875,0.0,6.629126073623883,0.0
98.0,360.96793702834606,6.629126073623883,42.1875,14.0625,28.512949360772904,28.125,9.375,23.4375,23.90165396996618,4.6875,28.125,28.125,14.823176532039279,33.14563036811941,14.0625,23.90165396996618,23.4375,23.4375,42.1875,51.775129768065284,28.125
99.0,13.258252147247767,28.125,13.258252147247767,37.5,16.90102160373745,14.823176532039279,33.14563036811941,28.512949360772904,112.88994917617777,33.14563036811941,42.44711783501914,53.445723051522094,61.11752254877483,10.481568644530265,60.9375,31.444705933590793,84.50510801868725,10.481568644530265,14.0625,14.0625,28.125
100.0,0.0,0.0,9.375,0.0,14.0625,0.0,14.0625,0.0,0.0,9.375,14.0625,4.6875,0.0,0.0,28.125,0.0,0.0,4.6875,14.0625,0.0,18.75
101.0,1771.875,0.0,1321.8833111440852,9.375,14.0625,9.375,4.6875,0.0,19.327057620082783,0.0,1321.8833111440852,9.375,0.0,0.0,0.0,0.0,60.9375,9.375,4.6875,14.0625,4.6875
102.0,4.6875,29.646353064078557,6.629126073623883,29.646353064078557,0.0,0.0,6.629126073623883,18.75,93.86711434922243,0.0,10.481568644530265,28.125,28.512949360772904,9.375,0.0,0.0,23.90165396996618,9.375,0.0,19.327057620082783,1354.6875
103.0,1331.2582526152655,4.6875,1317.1958407209233,4.6875,0.0,0.0,10.481568644530265,4.6875,23.4375,0.0,1312.5083705090226,0.0,28.125,0.0,0.0,0.0,6.629126073623883,13.258252147247767,0.0,9.375,1354.6875
104.0,417.21383343856184,23.4375,4.6875,4.6875,14.823176532039279,9.375,9.375,4.6875,25.242960033442987,4.6875,4.6875,14.0625,29.646353064078557,14.0625,0.0,20.96313728906053,6.629126073623883,10.481568644530265,4.6875,4.6875,4.6875
105.0,403.125,0.0,0.0,4.6875,6.629126073623883,0.0,9.375,4.6875,0.0,0.0,0.0,0.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,1345.320666351521,28.125,14.0625,18.75,10.481568644530265,14.0625,10.481568644530265,4.6875,23.4375,4.6875,4.6875,0.0,4.6875,14.0625,0.0,9.375,0.0,4.6875,0.0,14.0625,9.375
107.0,1373.4375,0.0,0.0,18.75,9.375,0.0,0.0,0.0,33.14563036811941,0.0,14.0625,9.375,0.0,0.0,0.0,0.0,4.6875,4.6875,0.0,14.0625,4.6875
108.0,0.0,0.0,0.0,0.0,4.6875,14.0625,0.0,4.6875,32.8125,0.0,0.0,9.375,0.0,4.6875,0.0,10.481568644530265,0.0,4.6875,0.0,0.0,4.6875
109.0,4.6875,0.0,9.375,4.6875,20.96313728906053,33.14563036811941,9.375,14.823176532039279,23.90165396996618,28.512949360772904,14.0625,0.0,33.14563036811941,14.823176532039279,32.8125,10.481568644530265,6.629126073623883,28.125,14.0625,0.0,28.125
110.0,0.0,0.0,0.0,0.0,10.481568644530265,18.75,0.0,0.0,0.0,0.0,0.0,0.0,19.327057620082783,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,1364.0625,0.0,1331.25,33.14563036811941,9.375,0.0,9.375,10.481568644530265,84.375,0.0,9.375,0.0,14.0625,14.0625,32.8125,9.375,0.0,28.125,14.823176532039279,28.125,28.125
112.0,4.6875,0.0,6.629126073623883,4.6875,4.6875,0.0,4.6875,4.6875,206.25,6.629126073623883,9.375,19.327057620082783,9.375,14.823176532039279,33.14563036811941,9.375,0.0,28.125,4.6875,9.375,1364.0625
